GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unitarios,com.acme.credvarejo.cliente,Cpf,27,257,19,31,8,49,19,12,0,6
Unitarios,com.acme.credvarejo.cliente,ControladorCliente,12,43,2,4,6,17,3,6,1,5
Unitarios,com.acme.credvarejo.cliente,Cliente,0,168,10,12,0,51,10,21,0,20
Unitarios,com.acme.credvarejo.contaCrediario,ContaCrediarioEspecial,110,31,6,0,26,11,6,5,3,5
Unitarios,com.acme.credvarejo.conta,MovimentoCrediario,3,120,3,7,1,28,3,12,0,10
Unitarios,com.acme.credvarejo.conta,ControladorMovimentoCrediario,8,24,2,2,4,11,2,3,0,3
Unitarios,com.acme.credvarejo.conta,MovimentoCrediarioCredito,0,6,0,0,0,2,0,1,0,1
Unitarios,com.acme.credvarejo.conta,ContaCrediario,0,123,2,4,0,45,2,20,0,19
Unitarios,com.acme.credvarejo.conta,IdentificadorContaCrediario,6,80,3,7,2,20,3,8,0,6
Unitarios,com.acme.credvarejo.conta,ControladorContaCrediario,16,112,8,8,8,28,9,5,1,5
Unitarios,com.acme.credvarejo.conta,MovimentoCrediarioDebito,0,6,0,0,0,2,0,1,0,1
Unitarios,com.acme.credvarejo.classesGerais,Registro,1,10,0,0,1,5,1,3,1,3
Unitarios,com.acme.credvarejo.classesGerais,Repositorios,33,31,0,0,9,9,6,3,6,3
Unitarios,com.acme.credvarejo.classesGerais,RepositorioRegistro,0,197,3,23,0,43,3,16,0,6
Unitarios,com.acme.credvarejo.ado.cliente,RepositorioCliente,36,158,9,15,7,34,8,10,1,5
Unitarios,com.acme.credvarejo.ado.conta,RepositorioMovimentoCrediario,0,168,0,4,0,27,0,6,0,4
Unitarios,com.acme.credvarejo.ado.conta,RepositorioContaCrediario,121,50,11,3,22,12,11,4,5,3
